ID	DOCULECT	CONCEPT	COUNTERPART	IPA	PROTO	COGID	GLOSA 1 PORT	GLOSA 2 PORT	GLOSA 2 ENGL	GLOSA 3 PORT	GLOSS 3 ENGL	PWT	PET
1143	WAN	distant	joa	joa	*tjʔoa	115	longe	-	-	-	-	-	-
1144	SEK	king-fisher	sʔãʔsa	sʔãʔsa	*tjãsa	116	martim pescador	-	-	-	-	-	-
1145	KOR	king-fisher	sãsʔa	sãsʔa	*tjãsa	116	martim pescador	-	-	-	-	-	-
1146	TAN	king-fisher	~haha	~haha	*tjãsa	116	martim pescador	-	-	-	-	-	-
1147	KUB	king-fisher	~haha	~haha	*tjãsa	116	martim pescador	-	-	-	-	-	-
1148	DES	king-fisher	~sada	~sada	*tjãsa	116	martim pescador	-	-	-	-	-	-
1149	YUP	king-fisher	~sasa	~sasa	*tjãsa	116	martim pescador	-	-	-	-	-	-
1150	BAS	king-fisher	~jasa	~jasa	*tjãsa	116	martim pescador	-	-	-	-	-	-
1151	TUK	king-fisher	~sada	~sada	*tjãsa	116	martim pescador	-	-	-	-	-	-
1152	KAR	king-fisher	~jasa	~jasa	*tjãsa	116	martim pescador	-	-	-	-	-	-
1153	WAN	king-fisher	~sada	~sada	*tjãsa	116	martim pescador	-	-	-	-	-	-
1154	SIO	peccary	sẽse	sẽse	*tjẽse	117	porco do mato	-	-	-	-	-	-
1155	SEK	peccary	sẽse	sẽse	*tjẽse	117	porco do mato	-	-	-	-	-	-
1156	KOR	peccary	sẽse	sẽse	*tjẽse	117	porco do mato	-	-	-	-	-	-
1157	MAL	peccary	sẽse	sẽse	*tjẽse	117	porco do mato	-	-	-	-	-	-
1158	KUE	peccary	jese	jese	*tjẽse	117	porco do mato	-	-	-	-	-	-
1159	TAN	peccary	~hehe	~hehe	*tjẽse	117	porco do mato	-	-	-	-	-	-
1160	KUB	peccary	~hehe	~hehe	*tjẽse	117	porco do mato	-	-	-	-	-	-
1161	DES	peccary	jese	jese	*tjẽse	117	porco do mato	-	-	-	-	-	-
1162	YUP	peccary	tsetse	tsetse	*tjẽse	117	porco do mato	-	-	-	-	-	-
1163	BAS	peccary	jece	jece	*tjẽse	117	porco do mato	-	-	-	-	-	-
1164	TUK	peccary	jese	jese	*tjẽse	117	porco do mato	-	-	-	-	-	-
1165	TUY	peccary	jese	jese	*tjẽse	117	porco do mato	-	-	-	-	-	-
1166	WAN	peccary	jese	jese	*tjẽse	117	porco do mato	-	-	-	-	-	-
1167	SEK	poison	sʔĩma	sʔĩma	*tjima	118	veneno	-	-	-	-	-	-
1168	KOR	poison	jima	jima	*tjima	118	veneno	-	-	-	-	-	-
1169	KUB	poison	~hima	~hima	*tjima	118	veneno	-	-	-	-	-	-
1170	DES	poison	~diba	~diba	*tjima	118	veneno	-	-	-	-	-	-
1171	TUK	poison	~diba	~diba	*tjima	118	veneno	-	-	-	-	-	-
1172	KAR	poison	~diba	~diba	*tjima	118	veneno	-	-	-	-	-	-
1173	TUY	poison	~diba	~diba	*tjima	118	veneno	-	-	-	-	-	-
1174	WAN	poison	~jiba	~jiba	*tjima	118	veneno	-	-	-	-	-	-
1175	SIO	green	sɨho	sɨho	*tjɨ̃pʔe	119	verde	azul	blue	não maduro	unripe	-	-
1176	KUE	green	tɨmɨ	tɨmɨ	*tjɨ̃pʔe	119	verde	azul	blue	não maduro	unripe	-	-
1177	TAN	green	~hiʔbi	~hiʔbi	*tjɨ̃pʔe	119	verde	azul	blue	não maduro	unripe	-	-
1178	KUB	green	~hɨbe	~hɨbe	*tjɨ̃pʔe	119	verde	azul	blue	não maduro	unripe	-	-
1179	YUP	green	tsɨmɨ	tsɨmɨ	*tjɨ̃pʔe	119	verde	azul	blue	não maduro	unripe	-	-
1180	BAS	green	~cɨbe	~cɨbe	*tjɨ̃pʔe	119	verde	azul	blue	não maduro	unripe	-	-
1181	TUK	green	sɨʔme	sɨʔme	*tjɨ̃pʔe	119	verde	azul	blue	não maduro	unripe	-	-
1182	KAR	green	~hɨbe	~hɨbe	*tjɨ̃pʔe	119	verde	azul	blue	não maduro	unripe	-	-
1183	TUY	green	~sɨbere	~sɨbere	*tjɨ̃pʔe	119	verde	azul	blue	não maduro	unripe	-	-
1184	SIO	cold	sɨsɨ	sɨsɨ	*tjɨsi	120	frio	-	-	-	-	-	-
1185	SEK	cold	sɨsɨ	sɨsɨ	*tjɨsi	120	frio	-	-	-	-	-	-
1186	KOR	cold	sɨsɨ	sɨsɨ	*tjɨsi	120	frio	-	-	-	-	-	-
1187	MAL	cold	sɨsɨ	sɨsɨ	*tjɨsi	120	frio	-	-	-	-	-	-
1188	KUE	cold	jɨsɨa	jɨsɨa	*tjɨsi	120	frio	-	-	-	-	-	-
1189	TAN	cold	hiʔhia	hiʔhia	*tjɨsi	120	frio	-	-	-	-	-	-
1190	KUB	cold	hɨhɨ	hɨhɨ	*tjɨsi	120	frio	-	-	-	-	-	-
1191	DES	cold	jɨsa	jɨsa	*tjɨsi	120	frio	-	-	-	-	-	-
1192	YUP	cold	tsesɨ, tsitsi	tsesɨ	*tjɨsi	120	frio	-	-	-	-	-	-
1193	BAS	cold	ɨca, jɨcɨ	ɨca	*tjɨsi	120	frio	-	-	-	-	-	-
1194	TUK	cold	jɨsɨa	jɨsɨa	*tjɨsi	120	frio	-	-	-	-	-	-
1195	TUY	cold	jɨsɨa	jɨsɨa	*tjɨsi	120	frio	-	-	-	-	-	-
1196	WAN	cold	jɨsɨ	jɨsɨ	*tjɨsi	120	frio	-	-	-	-	-	-
1197	SIO	tree	sũki	sũki	*tjũkkɨ	121	árvore	-	-	-	-	-	-
1198	SEK	tree	sõkɨ	sõkɨ	*tjũkkɨ	121	árvore	-	-	-	-	-	-
1199	KOR	tree	sũkij̃ɨ	sũkij̃ɨ	*tjũkkɨ	121	árvore	-	-	-	-	-	-
1200	MAL	tree	sũkij̃i	sũkij̃i	*tjũkkɨ	121	árvore	-	-	-	-	-	-
1201	KUE	tree	tokɨ	tokɨ	*tjũkkɨ	121	árvore	-	-	-	-	-	-
1202	TAN	tree	~huki	~huki	*tjũkkɨ	121	árvore	-	-	-	-	-	-
1203	KUB	tree	hokɨ	hokɨ	*tjũkkɨ	121	árvore	-	-	-	-	-	-
1204	DES	tree	jukɨ	jukɨ	*tjũkkɨ	121	árvore	-	-	-	-	-	-
1205	BAS	tree	jukɨ	jukɨ	*tjũkkɨ	121	árvore	-	-	-	-	-	-
1206	TUK	tree	jukɨ	jukɨ	*tjũkkɨ	121	árvore	-	-	-	-	-	-
1207	KAR	tree	jukɨ	jukɨ	*tjũkkɨ	121	árvore	-	-	-	-	-	-
1208	TUY	tree	jukɨ	jukɨ	*tjũkkɨ	121	árvore	-	-	-	-	-	-
1209	WAN	tree	jukɨ	jukɨ	*tjũkkɨ	121	árvore	-	-	-	-	-	-
1210	SIO	insect sp.	susi	susi	*tjusi	122	inseto sp.	-	-	-	-	-	-
1211	KOR	insect sp.	sũsi	sũsi	*tjusi	122	inseto sp.	-	-	-	-	-	-
1212	KUE	insect sp.	to(o)si	tosi	*tjusi	122	inseto sp.	-	-	-	-	-	-
1213	KUB	insect sp.	huhi	huhi	*tjusi	122	inseto sp.	-	-	-	-	-	-
1214	YUP	insect sp.	tsutsiga	tsutsiga	*tjusi	122	inseto sp.	-	-	-	-	-	-
1215	BAS	insect sp.	usi	usi	*tjusi	122	inseto sp.	-	-	-	-	-	-
1216	WAN	insect sp.	jĩ	jĩ	*tjusi	122	inseto sp.	-	-	-	-	-	-
1217	SIO	fruit sp.	toa	toa	*toa	123	fruta sp.	-	-	-	-	-	-
1218	SEK	fruit sp.	toa	toa	*toa	123	fruta sp.	-	-	-	-	-	-
1219	KOR	fruit sp.	thoa	thoa	*toa	123	fruta sp.	-	-	-	-	-	-
1220	MAL	fruit sp.	toa	toa	*toa	123	fruta sp.	-	-	-	-	-	-
1221	KUB	fruit sp.	toa	toa	*toa	123	fruta sp.	-	-	-	-	-	-
1222	BAS	fruit sp.	toa	toa	*toa	123	fruta sp.	-	-	-	-	-	-
1223	TUK	fruit sp.	toa	toa	*toa	123	fruta sp.	-	-	-	-	-	-
1224	WAN	fruit sp.	thoa	thoa	*toa	123	fruta sp.	-	-	-	-	-	-
1225	SIO	stump	tu	tu	*tu-	124	toco	pau, porrete (sio, sek, mai, Kub)	stick, club (sio, sek, mai, Kub)	-	-	-	-
1226	SEK	stump	tu-	tu	*tu-	124	toco	pau, porrete (sio, sek, mai, Kub)	stick, club (sio, sek, mai, Kub)	-	-	-	-
1227	KOR	stump	thuu	thuu	*tu-	124	toco	pau, porrete (sio, sek, mai, Kub)	stick, club (sio, sek, mai, Kub)	-	-	-	-
1228	MAL	stump	tu	tu	*tu-	124	toco	pau, porrete (sio, sek, mai, Kub)	stick, club (sio, sek, mai, Kub)	-	-	-	-
1229	KUB	stump	tutudi	tutudi	*tu-	124	toco	pau, porrete (sio, sek, mai, Kub)	stick, club (sio, sek, mai, Kub)	-	-	-	-
1230	DES	stump	tudu	tudu	*tu-	124	toco	pau, porrete (sio, sek, mai, Kub)	stick, club (sio, sek, mai, Kub)	-	-	-	-
1231	BAS	stump	tutu	tutu	*tu-	124	toco	pau, porrete (sio, sek, mai, Kub)	stick, club (sio, sek, mai, Kub)	-	-	-	-
1232	TUK	stump	tutu	tutu	*tu-	124	toco	pau, porrete (sio, sek, mai, Kub)	stick, club (sio, sek, mai, Kub)	-	-	-	-
1233	KAR	stump	tutu	tutu	*tu-	124	toco	pau, porrete (sio, sek, mai, Kub)	stick, club (sio, sek, mai, Kub)	-	-	-	-
1234	WAN	stump	thutu	thutu	*tu-	124	toco	pau, porrete (sio, sek, mai, Kub)	stick, club (sio, sek, mai, Kub)	-	-	-	-
1235	KUE	pacu fish	hohu	hohu	*uhu	125	pacu	-	-	-	-	-	*uhu
1236	DES	pacu fish	uhu	uhu	*uhu	125	pacu	-	-	-	-	-	*uhu
1237	BAS	pacu fish	uhu	uhu	*uhu	125	pacu	-	-	-	-	-	*uhu
1238	TUK	pacu fish	uhu	uhu	*uhu	125	pacu	-	-	-	-	-	*uhu
1239	SIO	breast	ohe	ohe	*upe	126	peito	-	-	-	-	-	-
1240	SEK	breast	ohe	ohe	*upe	126	peito	-	-	-	-	-	-
1241	KOR	breast	ohe	ohe	*upe	126	peito	-	-	-	-	-	-
1242	MAL	breast	ohe	ohe	*upe	126	peito	-	-	-	-	-	-
1243	KUE	breast	huheri	huheri	*upe	126	peito	-	-	-	-	-	-
1244	TAN	breast	ũʔpe	ũʔpe	*upe	126	peito	-	-	-	-	-	-
1245	KUB	breast	ope	ope	*upe	126	peito	-	-	-	-	-	-
1246	DES	breast	~api	~api	*upe	126	peito	-	-	-	-	-	-
1247	BAS	breast	~ohe	~ohe	*upe	126	peito	-	-	-	-	-	-
1248	TUK	breast	~ope	~ope	*upe	126	peito	-	-	-	-	-	-
1249	KAR	breast	~upe	~upe	*upe	126	peito	-	-	-	-	-	-
1250	TUY	breast	~opea	~opea	*upe	126	peito	-	-	-	-	-	-
1251	WAN	breast	~pedo	~pedo	*upe	126	peito	-	-	-	-	-	-
1252	SIO	wasp	uti	uti	*utti	127	caba	-	-	-	-	-	-
1253	SEK	wasp	uti	uti	*utti	127	caba	-	-	-	-	-	-
1254	KOR	wasp	uthi	uthi	*utti	127	caba	-	-	-	-	-	-
1255	MAL	wasp	uti	uti	*utti	127	caba	-	-	-	-	-	-
1256	KUE	wasp	huti	huti	*utti	127	caba	-	-	-	-	-	-
1257	TAN	wasp	uti	uti	*utti	127	caba	-	-	-	-	-	-
1258	KUB	wasp	ut∫i	ut∫i	*utti	127	caba	-	-	-	-	-	-
1259	DES	wasp	uti	uti	*utti	127	caba	-	-	-	-	-	-
1260	BAS	wasp	uti	uti	*utti	127	caba	-	-	-	-	-	-
1261	TUK	wasp	uti	uti	*utti	127	caba	-	-	-	-	-	-
1262	KAR	wasp	uti	uti	*utti	127	caba	-	-	-	-	-	-
1263	TUY	wasp	utia	utia	*utti	127	caba	-	-	-	-	-	-
1264	WAN	wasp	ti	ti	*utti	127	caba	-	-	-	-	-	-
1265	KOR	fish with a net	wajo	wajo	*waja	128	pescar com rede	-	strain	-	remove	-	-
1266	MAL	fish with a net	bejo	bejo	*waja	128	pescar com rede	-	strain	-	remove	-	-
1267	DES	fish with a net	waja	waja	*waja	128	pescar com rede	-	strain	-	remove	-	-
1268	BAS	fish with a net	waja	waja	*waja	128	pescar com rede	-	strain	-	remove	-	-
1269	TUK	fish with a net	waʔsa	waʔsa	*waja	128	pescar com rede	-	strain	-	remove	-	-
1270	WAN	fish with a net	waʔsa	waʔsa	*waja	128	pescar com rede	-	strain	-	remove	-	-
1271	SIO	cheek	wajo	wajo	*wajo	129	bochecha	-	-	-	-	-	-
1272	SEK	cheek	wajo	wajo	*wajo	129	bochecha	-	-	-	-	-	-
1273	KOR	cheek	wajo	wajo	*wajo	129	bochecha	-	-	-	-	-	-
1274	MAL	cheek	bajo	bajo	*wajo	129	bochecha	-	-	-	-	-	-
1275	KUB	cheek	wɨo	wɨo	*wajo	129	bochecha	-	-	-	-	-	-
1276	DES	cheek	waʔju	waʔju	*wajo	129	bochecha	-	-	-	-	-	-
1277	BAS	cheek	waju	waju	*wajo	129	bochecha	-	-	-	-	-	-
1278	TUK	cheek	waʔsu	waʔsu	*wajo	129	bochecha	-	-	-	-	-	-
1279	KAR	cheek	waso	waso	*wajo	129	bochecha	-	-	-	-	-	-
1280	TUY	cheek	wasopu	wasopu	*wajo	129	bochecha	-	-	-	-	-	-
1281	WAN	cheek	waʔsu	waʔsu	*wajo	129	bochecha	-	-	-	-	-	-
1282	SIO	name	mami	mami	*wãmi	130	nome	-	-	-	-	-	-
1283	SEK	name	mami	mami	*wãmi	130	nome	-	-	-	-	-	-
1284	KOR	name	mami	mami	*wãmi	130	nome	-	-	-	-	-	-
1285	MAL	name	mami	mami	*wãmi	130	nome	-	-	-	-	-	-
1286	TAN	name	~wabe	~wabe	*wãmi	130	nome	-	-	-	-	-	-
1287	KUB	name	~abi	~abi	*wãmi	130	nome	-	-	-	-	-	-
1288	DES	name	~wai	~wai	*wãmi	130	nome	-	-	-	-	-	-
1289	BAS	name	~wabe	~wabe	*wãmi	130	nome	-	-	-	-	-	-
1290	TUK	name	~wabe	~wabe	*wãmi	130	nome	-	-	-	-	-	-
1291	KAR	name	~wabe	~wabe	*wãmi	130	nome	-	-	-	-	-	-
1292	TUY	name	~wabe	~wabe	*wãmi	130	nome	-	-	-	-	-	-
1293	WAN	name	~waba	~waba	*wãmi	130	nome	-	-	-	-	-	-
1294	SIO	mythical being	wati	wati	*wãtti	131	ser mítico do mato	ancestral (kub)	ancestral (kub)	-	-	-	-
1295	SEK	mythical being	wati	wati	*wãtti	131	ser mítico do mato	ancestral (kub)	ancestral (kub)	-	-	-	-
1296	KOR	mythical being	vathi	vathi	*wãtti	131	ser mítico do mato	ancestral (kub)	ancestral (kub)	-	-	-	-
1297	MAL	mythical being	ãi	ãi	*wãtti	131	ser mítico do mato	ancestral (kub)	ancestral (kub)	-	-	-	-
1298	TAN	mythical being	wãti	wãti	*wãtti	131	ser mítico do mato	ancestral (kub)	ancestral (kub)	-	-	-	-
1299	KUB	mythical being	~at∫i	~at∫i	*wãtti	131	ser mítico do mato	ancestral (kub)	ancestral (kub)	-	-	-	-
1300	DES	mythical being	wãti	wãti	*wãtti	131	ser mítico do mato	ancestral (kub)	ancestral (kub)	-	-	-	-
1301	BAS	mythical being	wãti	wãti	*wãtti	131	ser mítico do mato	ancestral (kub)	ancestral (kub)	-	-	-	-
1302	TUK	mythical being	wãti	wãti	*wãtti	131	ser mítico do mato	ancestral (kub)	ancestral (kub)	-	-	-	-
1303	KAR	mythical being	wãti	wãti	*wãtti	131	ser mítico do mato	ancestral (kub)	ancestral (kub)	-	-	-	-
1304	WAN	mythical being	wãti	wãti	*wãtti	131	ser mítico do mato	ancestral (kub)	ancestral (kub)	-	-	-	-
1305	SIO	fish	waʔi	waʔi	*waʔi	132	peixe	fish sp. (kub?)	-	-	-	-	-
1306	SEK	fish	waʔi	waʔi	*waʔi	132	peixe	fish sp. (kub?)	-	-	-	-	-
1307	KOR	fish	βaʔi	βaʔi	*waʔi	132	peixe	fish sp. (kub?)	-	-	-	-	-
1308	MAL	fish	bai	bai	*waʔi	132	peixe	fish sp. (kub?)	-	-	-	-	-
1309	KUE	fish	uai	uai	*waʔi	132	peixe	fish sp. (kub?)	-	-	-	-	-
1310	TAN	fish	waʔi	waʔi	*waʔi	132	peixe	fish sp. (kub?)	-	-	-	-	-
1311	KUB	fish	wáwi	wáwi	*waʔi	132	peixe	fish sp. (kub?)	-	-	-	-	-
1312	DES	fish	waʔi	waʔi	*waʔi	132	peixe	fish sp. (kub?)	-	-	-	-	-
1313	BAS	fish	wai	wai	*waʔi	132	peixe	fish sp. (kub?)	-	-	-	-	-
1314	TUK	fish	waʔi	waʔi	*waʔi	132	peixe	fish sp. (kub?)	-	-	-	-	-
1315	TUY	fish	wai	wai	*waʔi	132	peixe	fish sp. (kub?)	-	-	-	-	-
1316	WAN	fish	waʔi	waʔi	*waʔi	132	peixe	fish sp. (kub?)	-	-	-	-	-
1317	SIO	tapir	wekɨ	wekɨ	*wekkɨ	133	anta	-	-	-	-	-	-
1318	SEK	tapir	wẽkɨ	wẽkɨ	*wekkɨ	133	anta	-	-	-	-	-	-
1319	KOR	tapir	βekhɨ	βekhɨ	*wekkɨ	133	anta	-	-	-	-	-	-
1320	MAL	tapir	bekɨ	bekɨ	*wekkɨ	133	anta	-	-	-	-	-	-
1321	KUE	tapir	uekɨ	uekɨ	*wekkɨ	133	anta	-	-	-	-	-	-
1322	KUB	tapir	wekɨ	wekɨ	*wekkɨ	133	anta	-	-	-	-	-	-
1323	DES	tapir	wekɨ	wekɨ	*wekkɨ	133	anta	-	-	-	-	-	-
1324	BAS	tapir	wekɨ	wekɨ	*wekkɨ	133	anta	-	-	-	-	-	-
1325	TUK	tapir	wekɨ	wekɨ	*wekkɨ	133	anta	-	-	-	-	-	-
1326	TUY	tapir	wekɨ	wekɨ	*wekkɨ	133	anta	-	-	-	-	-	-
1327	WAN	tapir	wat∫ɨ	wat∫ɨ	*wekkɨ	133	anta	-	-	-	-	-	-
1328	SIO	parrot	weko	weko	*wekko	134	papagaio	-	-	-	-	-	-
1329	SEK	parrot	weko	weko	*wekko	134	papagaio	-	-	-	-	-	-
1330	KOR	parrot	weko	weko	*wekko	134	papagaio	-	-	-	-	-	-
1331	MAL	parrot	beko	beko	*wekko	134	papagaio	-	-	-	-	-	-
1332	KUB	parrot	weko	weko	*wekko	134	papagaio	-	-	-	-	-	-
1333	DES	parrot	weko	weko	*wekko	134	papagaio	-	-	-	-	-	-
1334	BAS	parrot	weko	weko	*wekko	134	papagaio	-	-	-	-	-	-
1335	TUK	parrot	weko	weko	*wekko	134	papagaio	-	-	-	-	-	-
1336	KAR	parrot	weko	weko	*wekko	134	papagaio	-	-	-	-	-	-
1337	TUY	parrot	weko	weko	*wekko	134	papagaio	-	-	-	-	-	-
1338	WAN	parrot	wat∫o	wat∫o	*wekko	134	papagaio	-	-	-	-	-	-
1339	SEK	garden	βeʔse	βeʔse	*wese	135	roça	aldeia	village	fora	outside	-	-
1340	KOR	garden	weʔse	weʔse	*wese	135	roça	aldeia	village	fora	outside	-	-
1341	MAL	garden	bese	bese	*wese	135	roça	aldeia	village	fora	outside	-	-
1342	DES	garden	wese	wese	*wese	135	roça	aldeia	village	fora	outside	-	-
1343	BAS	garden	wece	wece	*wese	135	roça	aldeia	village	fora	outside	-	-
1344	TUK	garden	wese	wese	*wese	135	roça	aldeia	village	fora	outside	-	-
1345	TUY	garden	wese	wese	*wese	135	roça	aldeia	village	fora	outside	-	-
1346	WAN	garden	wese	wese	*wese	135	roça	aldeia	village	fora	outside	-	-
1347	KOR	̃̃	weʔe	weʔe	*weʔe	136	jenipapo	-	-	-	-	-	-
1348	KUB	̃̃	wei	wei	*weʔe	136	jenipapo	-	-	-	-	-	-
1349	BAS	̃̃	wei	wei	*weʔe	136	jenipapo	-	-	-	-	-	-
1350	TAN	wind	~wiro	~wiro	*wĩno	137	vento	-	-	-	-	-	*wĩno
1351	DES	wind	~bidu	~bidu	*wĩno	137	vento	-	-	-	-	-	*wĩno
1352	YUP	wind	uíne	uíne	*wĩno	137	vento	-	-	-	-	-	*wĩno
1353	BAS	wind	~bido	~bido	*wĩno	137	vento	-	-	-	-	-	*wĩno
1354	TUK	wind	~wido	~wido	*wĩno	137	vento	-	-	-	-	-	*wĩno
1355	KAR	wind	~wido	~wido	*wĩno	137	vento	-	-	-	-	-	*wĩno
1356	TUY	wind	~wido	~wido	*wĩno	137	vento	-	-	-	-	-	*wĩno
1357	WAN	wind	~wido	~wido	*wĩno	137	vento	-	-	-	-	-	*wĩno
1358	SIO	house	wɨʔe	wɨʔe	*wɨʔe	138	casa	formigueiro	anthill	-	-	-	-
1359	SEK	house	wɨʔe	wɨʔe	*wɨʔe	138	casa	formigueiro	anthill	-	-	-	-
1360	KOR	house	βɨʔe	βɨʔe	*wɨʔe	138	casa	formigueiro	anthill	-	-	-	-
1361	MAL	house	ue	ue	*wɨʔe	138	casa	formigueiro	anthill	-	-	-	-
1362	KUE	house	wɨri	wɨri	*wɨʔe	138	casa	formigueiro	anthill	-	-	-	-
1363	TAN	house	wiʔi	wiʔi	*wɨʔe	138	casa	formigueiro	anthill	-	-	-	-
1364	KUB	house	wɨe	wɨe	*wɨʔe	138	casa	formigueiro	anthill	-	-	-	-
1365	DES	house	wiʔi	wiʔi	*wɨʔe	138	casa	formigueiro	anthill	-	-	-	-
1366	BAS	house	wi	wi	*wɨʔe	138	casa	formigueiro	anthill	-	-	-	-
1367	TUK	house	wiʔi	wiʔi	*wɨʔe	138	casa	formigueiro	anthill	-	-	-	-
1368	KAR	house	wii	wii	*wɨʔe	138	casa	formigueiro	anthill	-	-	-	-
1369	TUY	house	wii	wii	*wɨʔe	138	casa	formigueiro	anthill	-	-	-	-
1370	WAN	house	wɨʔɨ	wɨʔɨ	*wɨʔe	138	casa	formigueiro	anthill	-	-	-	-
1371	SIO	thunder	mɨho	mɨho	*wɨ̃po	139	trovão	-	-	-	-	-	-
1372	SEK	thunder	moho	moho	*wɨ̃po	139	trovão	-	-	-	-	-	-
1373	MAL	thunder	mɨha	mɨha	*wɨ̃po	139	trovão	-	-	-	-	-	-
1374	KUE	thunder	mɨʔho	mɨʔho	*wɨ̃po	139	trovão	-	-	-	-	-	-
1375	TAN	thunder	awĩpo	awĩpo	*wɨ̃po	139	trovão	-	-	-	-	-	-
1376	KUB	thunder	õpõ	õpõ	*wɨ̃po	139	trovão	-	-	-	-	-	-
1377	DES	thunder	bupu	bupu	*wɨ̃po	139	trovão	-	-	-	-	-	-
1378	BAS	thunder	bɨho	bɨho	*wɨ̃po	139	trovão	-	-	-	-	-	-
1379	TUK	thunder	bɨpo	bɨpo	*wɨ̃po	139	trovão	-	-	-	-	-	-
1380	TUY	thunder	bɨpo	bɨpo	*wɨ̃po	139	trovão	-	-	-	-	-	-
1381	WAN	thunder	wɨpo	wɨpo	*wɨ̃po	139	trovão	-	-	-	-	-	-
1382	SIO	agouti	wɨ	wɨ	*wuɨ	140	cutia	-	-	-	-	-	-
1383	SEK	agouti	wɨ	wɨ	*wuɨ	140	cutia	-	-	-	-	-	-
1384	KOR	agouti	βɨɨ	βɨɨ	*wuɨ	140	cutia	-	-	-	-	-	-
1385	TAN	agouti	bui	bui	*wuɨ	140	cutia	-	-	-	-	-	-
1386	KUB	agouti	buɨ	buɨ	*wuɨ	140	cutia	-	-	-	-	-	-
1387	DES	agouti	bui	bui	*wuɨ	140	cutia	-	-	-	-	-	-
1388	BAS	agouti	buu	buu	*wuɨ	140	cutia	-	-	-	-	-	-
1389	TUK	agouti	buu	buu	*wuɨ	140	cutia	-	-	-	-	-	-
1390	KAR	agouti	buu	buu	*wuɨ	140	cutia	-	-	-	-	-	-
1391	WAN	agouti	buu	buu	*wuɨ	140	cutia	-	-	-	-	-	-
1392	SIO	stone	kʔata	kʔata	*kʔɨ̃ta	141	pedra	-	-	-	-	-	-
1393	SEK	stone	kɨna	kɨna	*kʔɨ̃ta	141	pedra	-	-	-	-	-	-
1394	KOR	stone	katha	katha	*kʔɨ̃ta	141	pedra	-	-	-	-	-	-
1395	TAN	stone	ãta	ãta	*kʔɨ̃ta	141	pedra	-	-	-	-	-	-
1396	DES	stone	~ɨta	~ɨta	*kʔɨ̃ta	141	pedra	-	-	-	-	-	-
1397	YUP	stone	gɨlɨ	gɨlɨ	*kʔɨ̃ta	141	pedra	-	-	-	-	-	-
1398	BAS	stone	~gɨta	~gɨta	*kʔɨ̃ta	141	pedra	-	-	-	-	-	-
1399	TUK	stone	~ɨta	~ɨta	*kʔɨ̃ta	141	pedra	-	-	-	-	-	-
1400	KAR	stone	~ɨta	~ɨta	*kʔɨ̃ta	141	pedra	-	-	-	-	-	-
1401	TUY	stone	~ɨta	~ɨta	*kʔɨ̃ta	141	pedra	-	-	-	-	-	-
1402	PLR	stone	~kɨta	~kɨta	*kʔɨ̃ta	141	pedra	-	-	-	-	-	-
